type,id,geometry,geometry_name,properties/Nombre,properties/Direccion,properties/Zona,properties/Tipo,properties/ActividadEconomica,properties/MacroDistrito,properties/DistritoChar,properties/distrito,properties/owner,properties/usuario,properties/fechaActual,properties/observaciones,geometry/type,geometry/coordinates/0,geometry/coordinates/1
Feature,agenciasviajes.1,,geom,Fox Tours & Travels,C. Linares #1017,SAN PEDRO BELEN,Comercio y Servicios,AGENCIAS DE VIAJE Y ORGANIZACION DE VIAJES EN GRUP,COTAHUMA,DISTRITO 6,6,,brenda.zuniga,2016-06-07T18:47:53.150Z,,,,
Feature,agenciasviajes.2,,geom,Inday Tours,C. Illampu #742,ROSARIO,Comercio y Servicios,AGENCIAS DE VIAJE Y ORGANIZACION DE VIAJES EN GRUP,CENTRO,DISTRITO 1,1,,brenda.zuniga,2016-06-03T15:24:32.810Z,,,,
Feature,agenciasviajes.3,,geom,Big Trax Tours,Av. Baltazar de Salas #1083,VINO TINTO,Comercio y Servicios,AGENCIAS DE VIAJE Y ORGANIZACION DE VIAJES EN GRUP,PERIFERICA,DISTRITO 11,11,,brenda.zuniga,2016-06-03T15:31:12.727Z,,,,
Feature,agenciasviajes.4,,geom,Mirella Tours,Av. Simón Bolivar #1922,MIRAFLORES,Comercio y Servicios,AGENCIAS DE VIAJE Y ORGANIZACION DE VIAJES EN GRUP,CENTRO,DISTRITO 2,2,,brenda.zuniga,2016-06-03T15:56:53.530Z,,,,
Feature,agenciasviajes.5,,geom,Mundi Tours,Av. Arequipa #8221 Edif. Centro Empresarial La Florida,La Florida,Comercio y Servicios,AGENCIAS DE VIAJE Y ORGANIZACION DE VIAJES EN GRUP,SUR,DISTRITO 19,0,,brenda.zuniga,2016-06-03T15:42:40.693Z,,,,
Feature,agenciasviajes.6,,geom,Seagull Travel,Av. Villazón Edif. Villazón #1958,SOPOCACHI BAJO,Comercio y Servicios,AGENCIAS DE VIAJE Y ORGANIZACION DE VIAJES EN GRUP,COTAHUMA,DISTRITO 3,3,,brenda.zuniga,2016-06-03T16:09:05.490Z,,Point,-68.13079005,-16.50472945
Feature,agenciasviajes.7,,geom,Organización y Venta de Paquetes Turísticos,C. Sagaranaga #189,SAN PEDRO BELEN,Comercio y Servicios,AGENCIAS DE VIAJE Y ORGANIZACION DE VIAJES EN GRUP,COTAHUMA,DISTRITO 6,6,,brenda.zuniga,2016-06-03T16:01:57.890Z,,,,
Feature,agenciasviajes.8,,geom,Bolivian Niji Tour Operator,C. Linares # 947,ROSARIO(COTAHUMA),Comercio y Servicios,AGENCIAS DE VIAJE Y ORGANIZACION DE VIAJES EN GRUP,COTAHUMA,DISTRITO 6,6,,brenda.zuniga,2016-06-03T16:15:48.803Z,,,,
Feature,agenciasviajes.9,,geom,Victoria Andina,C. Illampu #867,ROSARIO,Comercio y Servicios,AGENCIAS DE VIAJE Y ORGANIZACION DE VIAJES EN GRUP,CENTRO,DISTRITO 1,1,,brenda.zuniga,2016-06-03T16:16:45.413Z,,,,
Feature,agenciasviajes.10,,geom,Bolivia Japan Tour,Av. Gobles Edif. Riveros Pb. #156,BAJO IRPAVI,Comercio y Servicios,AGENCIAS DE VIAJE Y ORGANIZACION DE VIAJES EN GRUP,SUR,DISTRITO 18,0,,brenda.zuniga,2016-06-03T16:19:04.970Z,,,,
Feature,agenciasviajes.11,,geom,Viajes Planeta S.R.L.,"Av. Montenegro, Edif. San Miguel #1420 Edif. Arcangel",SAN MIGUEL,Comercio y Servicios,ACT.AGENCIAS DE VIAJES Y ASISTENCIA A TURISTAS NCP,SUR,DISTRITO 19,18,,brenda.zuniga,2016-06-07T18:48:01.203Z,,Point,-68.0786324,-16.54044093
Feature,agenciasviajes.12,,geom,Arriba Ltda.,C. Rene Moreno Boq. C6 #1328,SAN MIGUEL,Comercio y Servicios,AGENCIAS DE VIAJE Y ORGANIZACION DE VIAJES EN GRUP,SUR,DISTRITO 19,0,,brenda.zuniga,2016-06-03T19:00:30.223Z,,Point,-68.07935356,-16.54108127
Feature,agenciasviajes.13,,geom,Agencia de viajes y turismo,C. Gabriel Rene Moreno #1328,SAN MIGUEL,Comercio y Servicios,AGENCIAS DE VIAJE Y ORGANIZACION DE VIAJES EN GRUP,SUR,DISTRITO 19,19,,brenda.zuniga,2016-06-03T19:02:48.770Z,,Point,-68.07935285,-16.54109202
Feature,agenciasviajes.14,,geom,Santa Barbara Tours,C. 21 de Calacoto #8350,CALACOTO,Comercio y Servicios,AGENCIAS DE VIAJE Y ORGANIZACION DE VIAJES EN GRUP,SUR,DISTRITO 19,18,,clara.revollo,2016-06-13T19:42:34.527Z,Nombre actual de la empresa AGENCIA DE PASAJES ACUARIO S.R.L.,Point,-68.07748934,-16.54230685
Feature,agenciasviajes.15,,geom,Agencia de viaje,C. Sagárnaga #363,ROSARIO,Comercio y Servicios,AGENCIAS DE VIAJE Y ORGANIZACION DE VIAJES EN GRUP,COTAHUMA,DISTRITO 6,6,,brenda.zuniga,2016-06-03T20:22:16.903Z,,,,
Feature,agenciasviajes.16,,geom,Andes Amazonia Operador de Turismo,CA Sagárnaga #189,SAN PEDRO BELEN,Comercio y Servicios,AGENCIAS DE VIAJE Y ORGANIZACION DE VIAJES EN GRUP,COTAHUMA,DISTRITO 6,6,,brenda.zuniga,2016-06-03T20:28:37.117Z,,Point,-68.13752595,-16.49714675
Feature,agenciasviajes.17,,geom,Bolivia Victour Travel & Bureau,C. Sagárnaga #288 Edif.  Galería Las Brujas Piso 1 Of. 21,ROSARIO,Comercio y Servicios,AGENCIAS DE VIAJE Y ORGANIZACION DE VIAJES EN GRUP,CENTRO,DISTRITO 1,6,,brenda.zuniga,2016-06-07T18:49:32.147Z,,Point,-68.13829253,-16.49721212
Feature,agenciasviajes.18,,geom,Arco Travel Bolivia,C. Sagárnaga #213 Edif. Galería Chuquiago Piso 1 Of. 11,ROSARIO(COTAHUMA),Comercio y Servicios,AGENCIAS DE VIAJE Y ORGANIZACION DE VIAJES EN GRUP,COTAHUMA,DISTRITO 6,6,,brenda.zuniga,2016-06-03T20:37:35.527Z,,,,
Feature,agenciasviajes.19,,geom,Golf and Tours Bolivia,C. Valentín Abecia #1751,TEMBLADERANI,Comercio y Servicios,AGENCIAS DE VIAJE Y ORGANIZACION DE VIAJES EN GRUP,COTAHUMA,DISTRITO 4,0,,brenda.zuniga,2016-06-03T20:51:09.933Z,,,,
Feature,agenciasviajes.20,,geom,Gravity Assisted Mountain Biking S.R.L.,C. Linares #940 Galería Pachamama Of. 5,SAN PEDRO BAJO,Comercio y Servicios,AGENCIAS DE VIAJE Y ORGANIZACION DE VIAJES EN GRUP,COTAHUMA,DISTRITO 6,6,,brenda.zuniga,2016-06-07T23:40:13.463Z,,Point,-68.13793168,-16.49813046
Feature,agenciasviajes.21,,geom,Alma Turismo S.R.L.,Av. Arce #2355 Edif. Cobija Piso 5 Of. 501,SAN JORGE,Comercio y Servicios,AGENCIAS DE VIAJE Y ORGANIZACION DE VIAJES EN GRUP,CENTRO,DISTRITO 1,1,,brenda.zuniga,2016-06-03T21:18:48.513Z,,Point,-68.12565872,-16.50805141
Feature,agenciasviajes.22,,geom,Super Tour,C. Villalobos #625 Edif. Girasoles Piso 3 Of. 5B,MIRAFLORES,Comercio y Servicios,AGENCIAS DE VIAJE Y ORGANIZACION DE VIAJES EN GRUP,CENTRO,DISTRITO 2,2,,brenda.zuniga,2016-06-03T21:26:55.963Z,,,,
Feature,agenciasviajes.23,,geom,Jireh Turismo,C. Sagárnaga #288 Edif. Galería Las Brujas,ROSARIO,Comercio y Servicios,AGENCIAS DE VIAJE Y ORGANIZACION DE VIAJES EN GRUP,CENTRO,DISTRITO 1,1,,brenda.zuniga,2016-06-03T21:28:32.113Z,,,,
Feature,agenciasviajes.24,,geom,Agencia de viajes y turismo,C. Sagárnaga #189 Edif. Michel Galería Doryan,SAN PEDRO BELEN,Comercio y Servicios,AGENCIAS DE VIAJE Y ORGANIZACION DE VIAJES EN GRUP,COTAHUMA,DISTRITO 6,6,,brenda.zuniga,2016-06-03T21:37:21.250Z,,Point,-68.13760077,-16.49697922
Feature,agenciasviajes.25,,geom,Waranica: Agencia de Servicios Turísticos para el Adulto Mayor,Av. 20 de Octubre #2223,SOPOCACHI,Comercio y Servicios,AGENCIAS DE VIAJE Y ORGANIZACION DE VIAJES EN GRUP,COTAHUMA,DISTRITO 3,3,,brenda.zuniga,2016-06-03T21:39:58.690Z,,,,
Feature,agenciasviajes.26,,geom,Portour Bolivia,C. Cuatro #608,OBRAJES,Comercio y Servicios,AGENCIAS DE VIAJE Y ORGANIZACION DE VIAJES EN GRUP,SUR,DISTRITO 21,21,,brenda.zuniga,2016-06-03T21:45:21.230Z,,,,
Feature,agenciasviajes.27,,geom,Bolivia Tourism Destinations,Av. Ballivián #720,CALACOTO,Comercio y Servicios,AGENCIAS DE VIAJE Y ORGANIZACION DE VIAJES EN GRUP,SUR,DISTRITO 19,19,,brenda.zuniga,2016-06-03T21:47:10.243Z,,,,
Feature,agenciasviajes.28,,geom,Bolivien Reisen Touristik,C. Jimenez #799,ROSARIO,Comercio y Servicios,AGENCIAS DE VIAJE Y ORGANIZACION DE VIAJES EN GRUP,CENTRO,DISTRITO 1,1,,brenda.zuniga,2016-06-03T21:50:05.553Z,,,,
Feature,agenciasviajes.29,,geom,Julivan Travel Tours Ltda.,C. Loayza #677 Edif. San Andres II Bloque C Piso Pb Of. 1,CENTRAL,Comercio y Servicios,AGENCIAS DE VIAJE Y ORGANIZACION DE VIAJES EN GRUP,CENTRO,DISTRITO 1,1,,brenda.zuniga,2016-06-03T21:51:57.937Z,,,,
Feature,agenciasviajes.30,,geom,Student Travel,Av. 14 de Semtiembre #4620 Edif. Señor de la Exaltación Piso Pb Of. 6-C,OBRAJES,Comercio y Servicios,AGENCIAS DE VIAJE Y ORGANIZACION DE VIAJES EN GRUP,SUR,DISTRITO 21,21,,brenda.zuniga,2016-06-03T22:09:53.753Z,,Point,-68.11336928,-16.52265794
Feature,agenciasviajes.31,,geom,Eliana Tours S.R.L.,C. Sagárnaga #189,ROSARIO(COTAHUMA),Comercio y Servicios,AGENCIAS DE VIAJE Y ORGANIZACION DE VIAJES EN GRUP,COTAHUMA,DISTRITO 6,6,,brenda.zuniga,2016-06-03T22:18:32.720Z,,,,
Feature,agenciasviajes.32,,geom,Parabas Tours,C. Figueroa #800 Edif. Rodal Piso P.b.,ROSARIO,Comercio y Servicios,AGENCIAS DE VIAJE Y ORGANIZACION DE VIAJES EN GRUP,CENTRO,DISTRITO 1,1,,brenda.zuniga,2016-06-03T22:25:10.530Z,,Point,-68.13798041,-16.49502056
Feature,agenciasviajes.33,,geom,Zafiro Travel & Tours ,"C. Mercado, Edif. Torre Centro Piso 2 Of. 202",ROSARIO(COTAHUMA),Comercio y Servicios,ACT.AGENCIAS DE VIAJES Y ASISTENCIA A TURISTAS NCP,COTAHUMA,DISTRITO 6,6,,brenda.zuniga,2016-06-07T18:47:43.993Z,,Point,-68.13317874,-16.49827162
Feature,agenciasviajes.34,,geom,Hubble,C. Man Cesped #80,LA FLORIDA,Comercio y Servicios,AGENCIAS DE VIAJE Y ORGANIZACION DE VIAJES EN GRUP,SUR,DISTRITO 19,19,,brenda.zuniga,2016-06-03T22:37:47.883Z,,,,
Feature,agenciasviajes.35,,geom,Yanawara viajes operador turístico,C. Jimenez #831,ROSARIO,Comercio y Servicios,AGENCIAS DE VIAJE Y ORGANIZACION DE VIAJES EN GRUP,CENTRO,DISTRITO 1,1,,brenda.zuniga,2016-06-03T22:44:24.877Z,,,,
Feature,agenciasviajes.36,,geom,Motorcycle Tours Bolivia,Av. Florida #609,MALLASA,Comercio y Servicios,AGENCIAS DE VIAJE Y ORGANIZACION DE VIAJES EN GRUP,MALLASA,DISTRITO 20,20,,brenda.zuniga,2016-06-03T22:46:40.060Z,,,,
Feature,agenciasviajes.37,,geom,Reg Travel S.R.L.,C. Loayza #250 Edif. Castilla Piso 3 - 303.304,CENTRAL,Comercio y Servicios,AGENCIAS DE VIAJE Y ORGANIZACION DE VIAJES EN GRUP,CENTRO,DISTRITO 1,1,,brenda.zuniga,2016-06-03T22:53:40.420Z,,Point,-68.13298296,-16.49888661
Feature,agenciasviajes.38,,geom,Unión Bolivia S.R.L. - Representaciones en General,Av. Sanchez Bustamante #487,CALACOTO,Comercio y Servicios,AGENCIAS DE VIAJE Y ORGANIZACION DE VIAJES EN GRUP,SUR,DISTRITO 19,19,,brenda.zuniga,2016-06-03T22:59:18.417Z,,,,
Feature,agenciasviajes.39,,geom,Consejeros de viajes Tour Operador Agencia de viajes y Representaciones S.R.L.,C. Potosí #1008 Edif. Centro Comercial Cristal Piso 3 Of. 308,CENTRAL,Comercio y Servicios,AGENCIAS DE VIAJE Y ORGANIZACION DE VIAJES EN GRUP,CENTRO,DISTRITO 1,1,,brenda.zuniga,2016-06-06T13:34:25.537Z,,Point,-68.13537048,-16.49626556
